RANK,COMPANY,REVENUES ($M)
1,Walmart,514405
2,Exxon Mobil,290212
3,Apple,265595
4,Berkshire Hathaway,247837
5,Amazon.com,232887
6,UnitedHealth Group,226247
7,McKesson,208357
8,CVS Health,194579
9,AT&T,170756
10,AmerisourceBergen,167939.6
11,Chevron,166339
12,Ford Motor,160338
13,General Motors,147049
14,Costco Wholesale,141576
15,Alphabet,136819
16,Cardinal Health,136809
17,Walgreens Boots Alliance,131537
18,JPMorgan Chase,131412
19,Verizon Communications,130863
20,Kroger,121162
21,General Electric,120268
22,Fannie Mae,120101
23,Phillips 66,114217
24,Valero Energy,111407
25,Bank of America,110584
26,Microsoft,110360
27,Home Depot,108203
28,Boeing,101127
29,Wells Fargo,10160
30,Citigroup,97120
31,Marathon Petroleum,97102
32,Comcast,94507
33,Anthem,92105
34,Dell Technologies,90621
35,DuPont de Nemours,85977
36,State Farm Insurance,81732.2
37,Johnson & Johnson,81581
38,IBM,79591
39,Target,75356
40,Freddie Mac,73598
41,United Parcel Service,71861
42,Lowe’s,71309
43,Intel,70848
44,MetLife,67941
45,Procter & Gamble,66832
46,United Technologies,66501
47,FedEx,65450
48,PepsiCo,64661
49,Archer Daniels Midland,64341
50,Prudential Financial,62992
51,Centene,60116
52,Albertsons,59924.6
53,Walt Disney,59434
54,Sysco,58727.3
55,HP,58472
56,Humana,56912
57,Facebook,55838
58,Caterpillar,54722
59,Energy Transfer,54436
60,Lockheed Martin,53762
61,Pfizer,53647
62,Goldman Sachs Group,52528
63,Morgan Stanley,50193
64,Cisco Systems,49330
65,Cigna,48650
66,AIG,47389
67,HCA Healthcare,46677
68,American Airlines Group,44541
69,Delta Air Lines,44438
70,Charter Communications,43634
71,New York Life Insurance,43425.3
72,American Express,43281
73,Nationwide,43270
74,Best Buy,42879
75,Liberty Mutual Insurance Group,42685
76,Merck,42294
77,Honeywell International,41802
78,United Continental Holdings,41303
79,TIAA,41052.1
80,Tyson Foods,40052
81,Oracle,39831
82,Allstate,39815
83,World Fuel Services,39750.3
84,Massachusetts Mutual Life Insurance,39267.2
85,TJX,38972.9
86,ConocoPhillips,38727
87,Deere,37357.7
88,Tech Data,37239
89,Enterprise Products Partners,36534.2
90,Nike,36397
91,Publix Super Markets,36395.7
92,General Dynamics,36193
93,Exelon,35985
94,Plains GP Holdings,34055
95,3M,32765
96,AbbVie,32753
97,CHS,32683.3
98,Capital One Financial,32377
99,Progressive,31979
100,Coca-Cola,31856
